Cuisine,Accuracy,Support
South Indian,0.07692307692307693,52
Chinese,0.09941520467836257,171
Fast Food,0.14814814814814814,135
Bakery,0.1693548387096774,124
Continental,0.1702127659574468,47
Street Food,0.23404255319148937,47
Mithai,0.2653061224489796,49
Cafe,0.3089430894308943,123
American,0.5714285714285714,56
North Indian,0.7245409015025042,599
